X;et_x;direct;flip;id_r;g_indicator;indicator;country;ref;DOI;g_desbio;grupo;orden;fam.spe;habitat;et_y;dif;source;manag;coo1;coo2;r_paper;n;p;phen;r_total;n_total;Zr;r_dir;Zr_dir;Var_dir
1;build100;-;si;8_1;composition;non-crop areas;japan;Baba et al. - 2023 -;10.1007/s13157-023-01661-y;abu_den;Vertebrate;Anura;Ranidae;aquatic;Abundance;Easy;table;conventional;NA;NA;NA;NA;NA;NA;-0.149887879;108;-0.151025736;0.149887879;0.151025736;0.00952381
2;build200;-;si;8_2;composition;non-crop areas;japan;Baba et al. - 2023 -;10.1007/s13157-023-01661-y;abu_den;Vertebrate;Anura;Ranidae;aquatic;Abundance;Easy;table;EFF;NA;NA;NA;NA;NA;NA;-0.144136672;108;-0.145147467;0.144136672;0.145147467;0.00952381
3;build50;-;si;8_3;composition;non-crop areas;japan;Baba et al. - 2023 -;10.1007/s13157-023-01661-y;abu_den;Vertebrate;Anura;Ranidae;aquatic;Abundance;Easy;table;conventional;NA;NA;NA;NA;NA;NA;-0.164458219;108;-0.165965428;0.164458219;0.165965428;0.00952381
4;forest100;+;no;8_4;composition;semi-natural areas;japan;Baba et al. - 2023 -;10.1007/s13157-023-01661-y;abu_den;Vertebrate;Anura;Hylidae;aquatic;Abundance;Easy;table;EFF;NA;NA;NA;NA;NA;NA;0.057446954;108;0.057510274;0.057446954;0.057510274;0.00952381
5;forest200;+;no;8_5;composition;semi-natural areas;japan;Baba et al. - 2023 -;10.1007/s13157-023-01661-y;abu_den;Vertebrate;Anura;Hylidae;aquatic;Abundance;Easy;table;EFF;NA;NA;NA;NA;NA;NA;0.126671919;108;0.127356034;0.126671919;0.127356034;0.00952381
6;forest50;+;no;8_6;composition;semi-natural areas;japan;Baba et al. - 2023 -;10.1007/s13157-023-01661-y;abu_den;Vertebrate;Anura;Hylidae;aquatic;Abundance;Easy;table;EFF;NA;NA;NA;NA;NA;NA;-0.010546132;108;-0.010546523;-0.010546132;-0.010546523;0.00952381
7;paddy100;-;si;8_7;composition;crop-areas;japan;Baba et al. - 2023 -;10.1007/s13157-023-01661-y;abu_den;Vertebrate;Anura;Ranidae;aquatic;Abundance;Easy;table;EFF;NA;NA;NA;NA;NA;NA;-0.163461775;108;-0.164941457;0.163461775;0.164941457;0.00952381
8;paddy200;-;si;8_8;composition;crop-areas;japan;Baba et al. - 2023 -;10.1007/s13157-023-01661-y;abu_den;Vertebrate;Anura;Ranidae;aquatic;Abundance;Easy;table;conventional;NA;NA;NA;NA;NA;NA;-0.196373238;108;-0.198957511;0.196373238;0.198957511;0.00952381
9;paddy50;-;si;8_9;composition;crop-areas;japan;Baba et al. - 2023 -;10.1007/s13157-023-01661-y;abu_den;Vertebrate;Anura;Hylidae;aquatic;Abundance;Easy;table;EFF;NA;NA;NA;NA;NA;NA;-0.14402827;108;-0.145036767;0.14402827;0.145036767;0.00952381
10;Abandoned paddies (%);+;no;19_1;composition;transition area;japan;Kidera et al. - 2018 -;10.1016/j.biocon.2018.01.008;abu_den;Vertebrate;Anura;Ranidae;aquatic;Number of egg mass +1 (log);medium;graph;NA;NA;NA;NA;NA;NA;NA;-0.174877493;61;-0.176693646;-0.174877493;-0.176693646;0.017241379
11;Surrounding forest (%);+;no;19_2;composition;semi-natural areas;japan;Kidera et al. - 2018 -;10.1016/j.biocon.2018.01.009;abu_den;Vertebrate;Anura;Ranidae;aquatic;Number of egg mass +1 (log);medium;graph;NA;NA;NA;NA;NA;NA;NA;0.232968251;65;0.23732578;0.232968251;0.23732578;0.016129032
12;Wet fields in paddies (%);+;no;19_3;composition;transition area;japan;Kidera et al. - 2018 -;10.1016/j.biocon.2018.01.007;abu_den;Vertebrate;Anura;Ranidae;aquatic;Number of egg mass +1 (log);medium;graph;NA;NA;NA;NA;NA;NA;NA;0.279677069;56;0.287331704;0.279677069;0.287331704;0.018867925
13;% tree cover;+;no;21_1;composition;semi-natural areas;india;Libin Thaikkattil - 2014 -;NA;abu_den;Vertebrate;Anura;NA;aquatic;Amphibian abundance;easy;graph;EFF;NA;NA;NA;NA;NA;NA;-0.03844164;61;-0.038460593;-0.03844164;-0.038460593;0.017241379
14;Rice bund width (m);+;no;2_2;configuration;connectivity;bangladesh;Ali et al. - 2020 -;10.1186/s40850-020-00059-1;shannon;Arthropod;Araneae;NA;terrestrial;Spiders (No.);easy;graph;NA;NA;NA;0.576020833;NA;0.8;NA;0.576020833;8;0.656487085;0.576020833;0.656487085;0.2
15;width of rice bund;+;no;2_6;configuration;connectivity;bangladesh;Ali et al. - 2020 -;10.1186/s40850-020-00059-1;abu_den;Arthropod;Araneae;NA;terrestrial;staphylinid beetle;easy;coefficient;NA;NA;NA;0.322;24;0.481;NA;0.322;24;0.333876866;0.322;0.333876866;0.047619048
16;1000edd;+;no;4_1;configuration;connectivity;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;mid;0.298849568;60;0.308255872;0.298849568;0.308255872;0.01754386
17;1000Fallow;+;no;4_5;composition;transition area;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;max;0.382581329;60;0.403080103;0.382581329;0.403080103;0.01754386
18;1000HN;+;no;4_8;composition;semi-natural areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;mid;-0.167490494;60;-0.169083603;-0.167490494;-0.169083603;0.01754386
19;1000Rice;-;si;4_11;composition;crop-areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;heading;-0.410491226;60;-0.436201853;0.410491226;0.436201853;0.01754386
20;1000Road;+;no;4_13;composition;non-crop areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;mid;-0.028977038;60;-0.028985152;-0.028977038;-0.028985152;0.01754386
21;1000SHDI;+;no;4_18;heterogeinity;LU-crop evenness;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;max;-0.123688678;60;-0.124325299;-0.123688678;-0.124325299;0.01754386
22;1000Urban;-;si;4_21;composition;non-crop areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;max;-0.329526234;60;-0.342296683;0.329526234;0.342296683;0.01754386
23;1000Water;+;no;4_23;composition;semi-natural areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;heading;0.402182152;60;0.426249438;0.402182152;0.426249438;0.01754386
24;200edd;+;no;4_26;configuration;connectivity;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;max;0.252226479;60;0.257789138;0.252226479;0.257789138;0.01754386
25;200Fallow;+;no;4_28;composition;transition area;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;heading;0.178755702;60;0.180697022;0.178755702;0.180697022;0.01754386
26;200HN;+;no;4_31;composition;semi-natural areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;max;0.41097343;60;0.436781914;0.41097343;0.436781914;0.01754386
27;200Rice;-;si;4_34;composition;crop-areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;mid;-0.351664603;60;-0.367342;0.351664603;0.367342;0.01754386
28;200Road;+;no;4_37;composition;non-crop areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;max;-0.225950247;60;-0.229917691;-0.225950247;-0.229917691;0.01754386
