X;et_x;direct;flip;id_r;g_indicator;indicator;metric;obs_land;country;ref;DOI;des_bio;g_desbio;grupo;orden;fam.spe;habitat;funct;et_y;dif;source;manag;site_land;coo1;coo2;r_paper;n;p;coef;phen;obs_gen;n_cal;correlacion.x;correlacion.y;num_filas;r_total;r_absoluta;n_total;xy_cero;Zr;VarZr;r_dir;Zr_dir;Var_dir;tax
1;build100;-;si;8_1;composition;non-crop areas;area;NA;japan;Baba et al. - 2023 -;10.1007/s13157-023-01661-y;abundance;abu_den;Vertebrate;Anura;Ranidae;aquatic;predator;Abundance;Easy;table;conventional;paddy;NA;NA;NA;NA;NA;NA;NA;Pelophylax;108;-0.149887879;-0.108717255;108;-0.149887879;0.149887879;108;NA;-0.151025736;0.00952381;0.149887879;0.151025736;0.00952381;vertebrate
2;build200;-;si;8_2;composition;non-crop areas;area;NA;japan;Baba et al. - 2023 -;10.1007/s13157-023-01661-y;abundance;abu_den;Vertebrate;Anura;Ranidae;aquatic;predator;Abundance;Easy;table;EFF;paddy;NA;NA;NA;NA;NA;NA;NA;Rana;108;-0.144136672;-0.126757308;108;-0.144136672;0.144136672;108;NA;-0.145147467;0.00952381;0.144136672;0.145147467;0.00952381;vertebrate
3;build50;-;si;8_3;composition;non-crop areas;area;NA;japan;Baba et al. - 2023 -;10.1007/s13157-023-01661-y;abundance;abu_den;Vertebrate;Anura;Ranidae;aquatic;predator;Abundance;Easy;table;conventional;paddy;NA;NA;NA;NA;NA;NA;NA;Rana;108;-0.164458219;-0.114491907;108;-0.164458219;0.164458219;108;NA;-0.165965428;0.00952381;0.164458219;0.165965428;0.00952381;vertebrate
4;forest100;+;no;8_4;composition;semi-natural areas;area;NA;japan;Baba et al. - 2023 -;10.1007/s13157-023-01661-y;abundance;abu_den;Vertebrate;Anura;Hylidae;aquatic;predator;Abundance;Easy;table;EFF;paddy;NA;NA;NA;NA;NA;NA;NA;Dryophytes;108;0.057446954;0.174676369;108;0.057446954;0.057446954;108;NA;0.057510274;0.00952381;0.057446954;0.057510274;0.00952381;vertebrate
5;forest200;+;no;8_5;composition;semi-natural areas;area;NA;japan;Baba et al. - 2023 -;10.1007/s13157-023-01661-y;abundance;abu_den;Vertebrate;Anura;Hylidae;aquatic;predator;Abundance;Easy;table;EFF;paddy;NA;NA;NA;NA;NA;NA;NA;Dryophytes;108;0.126671919;0.176074635;108;0.126671919;0.126671919;108;NA;0.127356034;0.00952381;0.126671919;0.127356034;0.00952381;vertebrate
6;forest50;+;no;8_6;composition;semi-natural areas;area;NA;japan;Baba et al. - 2023 -;10.1007/s13157-023-01661-y;abundance;abu_den;Vertebrate;Anura;Hylidae;aquatic;predator;Abundance;Easy;table;EFF;paddy;NA;NA;NA;NA;NA;NA;NA;Dryophytes;108;-0.010546132;0.147369488;108;-0.010546132;0.010546132;108;si;-0.010546523;0.00952381;-0.010546132;-0.010546523;0.00952381;vertebrate
7;paddy100;-;si;8_7;composition;crop-areas;area;NA;japan;Baba et al. - 2023 -;10.1007/s13157-023-01661-y;abundance;abu_den;Vertebrate;Anura;Ranidae;aquatic;predator;Abundance;Easy;table;EFF;paddy;NA;NA;NA;NA;NA;NA;NA;Rana;108;-0.163461775;-0.173412692;108;-0.163461775;0.163461775;108;NA;-0.164941457;0.00952381;0.163461775;0.164941457;0.00952381;vertebrate
8;paddy200;-;si;8_8;composition;crop-areas;area;NA;japan;Baba et al. - 2023 -;10.1007/s13157-023-01661-y;abundance;abu_den;Vertebrate;Anura;Ranidae;aquatic;predator;Abundance;Easy;table;conventional;paddy;NA;NA;NA;NA;NA;NA;NA;Pelophylax;108;-0.196373238;-0.184318071;108;-0.196373238;0.196373238;108;NA;-0.198957511;0.00952381;0.196373238;0.198957511;0.00952381;vertebrate
9;paddy50;-;si;8_9;composition;crop-areas;area;NA;japan;Baba et al. - 2023 -;10.1007/s13157-023-01661-y;abundance;abu_den;Vertebrate;Anura;Hylidae;aquatic;predator;Abundance;Easy;table;EFF;paddy;NA;NA;NA;NA;NA;NA;NA;Dryophytes;108;-0.14402827;-0.154907897;108;-0.14402827;0.14402827;108;NA;-0.145036767;0.00952381;0.14402827;0.145036767;0.00952381;vertebrate
10;Abandoned paddies (%);+;no;19_1;composition;transition area;area;NA;japan;Kidera et al. - 2018 -;10.1016/j.biocon.2018.01.008;abundance;abu_den;Vertebrate;Anura;Ranidae;aquatic;predator;Number of egg mass +1 (log);medium;graph;NA;paddy;NA;NA;NA;NA;NA;NA;NA;NA;61;-0.174877493;-0.164621244;61;-0.174877493;0.174877493;61;NA;-0.176693646;0.017241379;-0.174877493;-0.176693646;0.017241379;vertebrate
11;Surrounding forest (%);+;no;19_2;composition;semi-natural areas;area;NA;japan;Kidera et al. - 2018 -;10.1016/j.biocon.2018.01.009;abundance;abu_den;Vertebrate;Anura;Ranidae;aquatic;predator;Number of egg mass +1 (log);medium;graph;NA;paddy;NA;NA;NA;NA;NA;NA;NA;NA;65;0.232968251;0.27643832;65;0.232968251;0.232968251;65;NA;0.23732578;0.016129032;0.232968251;0.23732578;0.016129032;vertebrate
12;Wet fields in paddies (%);+;no;19_3;composition;transition area;area;NA;japan;Kidera et al. - 2018 -;10.1016/j.biocon.2018.01.007;abundance;abu_den;Vertebrate;Anura;Ranidae;aquatic;predator;Number of egg mass +1 (log);medium;graph;NA;paddy;NA;NA;NA;NA;NA;NA;NA;NA;56;0.279677069;0.314586004;56;0.279677069;0.279677069;56;NA;0.287331704;0.018867925;0.279677069;0.287331704;0.018867925;vertebrate
