"Label","Term","Estimate","CI.Lower","CI.Upper","pval"
"general","intrcpt",0.082,0.005,0.159,0.0374028086247896
"land_vert","intrcpt",0.122,0.051,0.191,0.000782459856119427
"land_invert","intrcpt",0.062,-0.05,0.173,0.275777844651717
"dim_gen","intrcpt",0.081,-0.003,0.165,0.0596797668346134
"dim_gen","g_indicatorconfiguration",-0.002,-0.076,0.072,0.958930605337837
"dim_gen","g_indicatorheterogeinity",0.013,-0.064,0.089,0.742188061893718
"dim_vert","intrcpt",0.117,0.039,0.193,0.00337690627776739
"dim_vert","g_indicatorconfiguration",0.037,-0.119,0.191,0.642888274459153
"dim_vert","g_indicatorheterogeinity",-0.027,-0.301,0.252,0.854236919222623
"dim_invert","intrcpt",0.057,-0.066,0.178,0.365249460481639
"dim_invert","g_indicatorconfiguration",0.004,-0.076,0.084,0.919473911277804
"dim_invert","g_indicatorheterogeinity",0.021,-0.06,0.102,0.612798647009121
"dim_Araneae","intrcpt",0.175,0.023,0.319,0.0242252904205006
"dim_Araneae","g_indicatorconfiguration",-0.049,-0.197,0.101,0.519653986912873
"dim_Araneae","g_indicatorheterogeinity",-0.152,-0.298,0.002,0.052702598358767
"dim_Coleoptera","intrcpt",0.188,0.011,0.353,0.0370985295094229
"dim_Coleoptera","g_indicatorconfiguration",-0.13,-0.321,0.073,0.208412488849143
"dim_Coleoptera","g_indicatorheterogeinity",-0.164,-0.35,0.035,0.106638682878457
"dim_Hemiptera","intrcpt",-0.133,-0.2,-0.064,0.000156347253933612
"dim_Hemiptera","g_indicatorheterogeinity",0.066,-0.031,0.161,0.181306107229288
"dim_Lepidoptera","intrcpt",-0.112,-0.183,-0.04,0.00221370249555892
"dim_Lepidoptera","g_indicatorconfiguration",0.397,0.239,0.535,3.14084898714188e-06
"dim_Lepidoptera","g_indicatorheterogeinity",0.056,-0.12,0.228,0.536116913959781
"dim_Hymenoptera","intrcpt",-0.048,-0.189,0.094,0.508071468046537
"dim_Hymenoptera","g_indicatorconfiguration",0.034,-0.104,0.171,0.626838781847144
"dim_Hymenoptera","g_indicatorheterogeinity",0.135,-0.004,0.268,0.0571081899981255
"dim_Odonata","intrcpt",-0.249,-0.55,0.11,0.172123205926653
"dim_Odonata","g_indicatorconfiguration",0.269,0.054,0.46,0.0146332426791431
"dim_Odonata","g_indicatorheterogeinity",0.523,0.344,0.665,2.7258808160564e-07
"land_abuden","intrcpt",0.086,0.005,0.165,0.0367232856082696
"land_richness","intrcpt",0.023,-0.057,0.104,0.567492402709497
"land_shannon","intrcpt",0.15,-0.338,0.575,0.554970593780968
